date,region,patients_seen,response_time,engagement_score,readmission_risk
2026-05-01,North,132,12.3,82,7
2026-05-02,South,141,11.2,84,8
2026-05-03,East,126,14.1,83,10
2026-05-04,West,154,10.9,88,6
2026-05-05,North,139,13.1,80,7
2026-05-06,South,168,9.8,90,5
2026-05-07,East,145,12.8,86,6
2026-05-08,West,151,10.2,91,4
2026-05-09,North,162,12.1,87,7
2026-05-10,South,176,9.6,92,5
2026-05-11,East,139,13.5,81,9
2026-05-12,West,184,9.4,94,4
2026-05-13,North,171,12.7,86,8
2026-05-14,South,149,10.7,89,6
2026-05-15,East,134,13.9,84,8
2026-05-16,West,152,10.5,90,5
2026-05-17,North,178,11.8,88,6
2026-05-18,South,188,9.1,93,5
2026-05-19,East,146,12.9,85,7
2026-05-20,West,175,9.5,92,4
2026-05-21,North,184,11.3,89,6
2026-05-22,South,190,8.9,95,3
2026-05-23,East,154,12.6,88,7
2026-05-24,West,162,9.9,91,5
2026-05-25,North,170,12.2,87,6
2026-05-26,South,181,9.7,92,4
2026-05-27,East,167,10.8,89,6
2026-05-28,West,173,9.3,96,3
2026-05-29,North,176,11.1,90,5
2026-05-30,South,195,8.8,94,3
2026-05-31,East,167,11.6,89,6
